Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Midnight Lightning","Big Columbia Boulder > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105835104/midnight-lightning,3.9,-1,Boulder,V8,1,,37.74172,-119.60355
"Bachar Cracker","Bachar Cracker Boulder > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107094498/bachar-cracker,3.9,-1,Boulder,V4,1,,37.74317,-119.60292
"Circuit Breaker","Circuit Breaker > Curry Village > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105979654/circuit-breaker,3.7,-1,"TR, Boulder","5.11b V2",1,20,37.73578,-119.57543
"Initial Friction","Cocaine Corner Boulder > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106036895/initial-friction,3.6,-1,Boulder,V1,1,15,37.74232,-119.60431
Zorro,"Zorro Boulder > Curry Village > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106774200/zorro,3.5,-1,Boulder,V4,1,12,37.73744,-119.57605
"Kor Problem","Kor Problem Boulder > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107360640/kor-problem,3.4,-1,Boulder,V3,1,15,37.74287,-119.60284
"Once Upon a Time","The Storybook Boulder > Candyland Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106783145/once-upon-a-time,3.9,-1,Boulder,V3,1,15,37.72224,-119.61343
"Cocaine Corner","Cocaine Corner Boulder > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106036874/cocaine-corner,3.8,-1,Boulder,V5,1,15,37.74232,-119.60431
"Kevin's Traverse","Kevin's Traverse Boulder > Curry Village > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/108233422/kevins-traverse,2.9,-1,Boulder,V0,1,14,37.73713,-119.57551
"Largo Lunge","Bachar Cracker Boulder > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107590870/largo-lunge,2.8,-1,Boulder,V0,1,15,37.74317,-119.60292
"The King","The King Boulder > Cathedral Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106663088/the-king,3.7,-1,Boulder,V6,1,15,37.71818,-119.62817
"Kauk Problem","Eliminator Boulder > The Knobs > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/106668297/kauk-problem,3.4,-1,Boulder,V5,1,10,37.85273,-119.44141
"Olmsted Crack","Olmsted Crack Boulder > Olmsted Point Boulders > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/108255020/olmsted-crack,3.9,-1,Boulder,"5.8 V0+",1,18,37.81052,-119.48591
"The Scoop","The Scoop Boulder > The Knobs > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/106818342/the-scoop,3.8,-1,Boulder,V3,1,,37.85309,-119.44102
"Blue Suede Shoes","Blue Suede Shoes Boulder > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107585434/blue-suede-shoes,3.8,-1,Boulder,V5,1,15,37.7431,-119.60304
Atlantis,"Atlantis > Intersection Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107490947/atlantis,3.8,-1,Boulder,V5,1,,37.71925,-119.685
Flakes,"The Cube > Tenaya East Boulders > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/107809608/flakes,3.6,-1,Boulder,V1,1,,37.84011,-119.45082
"Double Dyno","Eliminator Boulder > The Knobs > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/107459753/double-dyno,3.1,-1,Boulder,V3,1,12,37.85273,-119.44141
"The Angler","Angler Boulder > Curry Village > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/108200959/the-angler,3.1,-1,Boulder,V3,1,10,37.73647,-119.57372
"Presidential Traverse","Presidential Boulder > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106437937/presidential-traverse,3.4,-1,Boulder,V0,1,,37.72641,-119.60573
"Ahwahnee Arete","The Ahwahnee Boulder > Ahwahnee Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/108101138/ahwahnee-arete,3.8,-1,Boulder,V4,1,22,37.74732,-119.57384
"Cellulite Eliminator","Steel Fingers > The Gunks > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/107488845/cellulite-eliminator,3.9,-1,Boulder,V7,1,15,37.88065,-119.39996
"Cellulite Eliminator Stand Start","Steel Fingers > The Gunks > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/108202478/cellulite-eliminator-stand-start,3.5,-1,Boulder,V5,1,,37.88065,-119.39996
"Battle of the Bulge","Titanic Boulder > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106774151/battle-of-the-bulge,3.6,-1,Boulder,V6,1,12,37.74207,-119.60458
"King Cobra","King Cobra Boulder > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105978272/king-cobra,4.0,-1,Boulder,"V8 R",1,20,37.74287,-119.60338
"Bear-Hug Mantle","Bear-Hug Mantle Boulder > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106774175/bear-hug-mantle,3.1,-1,Boulder,V4,1,7,37.74285,-119.60386
"Tendons Give","Goodrich Boulder > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/109968665/tendons-give,3.6,-1,Boulder,V4,1,15,37.74216,-119.60435
"Ament Arete","Torque Spanner Boulder > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107585336/ament-arete,3.1,-1,Boulder,V6,1,10,37.74315,-119.6032
"Machine World","Puppy Dome > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/106265351/machine-world,3.5,-1,Boulder,"5.11c V3",1,,37.87456,-119.34524
"The Hexcentric","The Hex Boulder > Cathedral Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106663071/the-hexcentric,3.6,-1,Boulder,V7,1,15,37.71889,-119.62828
"Golden Rastafarian","Golden Rastafarian > Kitty Boulders > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/107032630/golden-rastafarian,3.7,-1,Boulder,V3,1,15,37.87275,-119.34695
"Root Canal","Root Canal Boulder > Curry Village > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106776946/root-canal,3.5,-1,Boulder,V7,1,,37.73602,-119.57077
"The Octagon","The Hex Boulder > Cathedral Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106663077/the-octagon,3.5,-1,Boulder,V6,1,15,37.71889,-119.62828
"Bridalveil Pogo","Bridalveil Boulder > Bridalveil Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107598356/bridalveil-pogo,3.8,-1,Boulder,V7-,1,12,37.71552,-119.65022
"The Gallery","J.B.'s Boulder > Puppy Boulders > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/107694743/the-gallery,3.2,-1,Boulder,V0,1,15,37.8742,-119.3456
"No Holds Bard","B-1 Boulder > Sentinel Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106774238/no-holds-bard,4.0,-1,Boulder,V7,1,15,37.73235,-119.60032
"Kor Workout","Kor Problem Boulder > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/113442665/kor-workout,2.5,-1,Boulder,V2-3,1,8,37.74287,-119.60284
"No Fur","No Fur Boulder > Ahwahnee Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/117403321/no-fur,3.5,-1,Boulder,V3,1,10,37.74725,-119.57482
"Torque Spanner","Torque Spanner Boulder > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107152750/torque-spanner,3.6,-1,Boulder,V8,1,8,37.74315,-119.6032
"Great White","Great White Boulder > Horse Trail Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/108168541/great-white,3.5,-1,Boulder,V1,1,14,37.74623,-119.56917
"Lost, But Not Forgotten","Pywiack Boulder > Pywiack Boulders > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/113617240/lost-but-not-forgotten,3.6,-1,Boulder,V8,1,12,37.84563,-119.44564
